initialization,checkpoint,method,reference,metric,n_seeds,mean_difference_pp,ci_low_pp,ci_high_pp,seed_differences_pp,interpretation
imagenet,best,ce,student,macro_accuracy,3,-0.07166952217139884,-1.7729333184996157,1.6295942741568181,"{""0"": -0.5862887750531232, ""1"": 0.7056362006471306, ""2"": -0.334355992108204}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,full,student,macro_accuracy,3,-0.2833743289618644,-2.1140887205726813,1.5473400626489526,"{""0"": -1.0316826673948065, ""1"": 0.4416908607414505, ""2"": -0.260131180232237}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,random,student,macro_accuracy,3,-0.0001775107326795755,-3.3077588341521,3.307403812686741,"{""0"": -1.014828407960544, ""1"": 1.5074995856828366, ""2"": -0.49320370992033125}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,random_rescue_10,student,macro_accuracy,3,-0.2193508925704394,-4.235384016696391,3.796682231555512,"{""0"": -1.9334387186525248, ""1"": 1.2780460156369466, ""2"": -0.002659974695740086}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,foreground_rescue_10,student,macro_accuracy,3,-0.23344479776680563,-2.1478812026741037,1.6809916071404922,"{""0"": -0.39072482035863443, ""1"": 0.603727220000605, ""2"": -0.9133367929423875}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,low_score_rescue_10,student,macro_accuracy,3,-0.17098012441547997,-1.5254568274162565,1.1834965785852964,"{""0"": -0.7139031598125123, ""1"": 0.3765679123373, ""2"": -0.17560512577122767}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,ce,student,accuracy,3,-0.1250781738586615,-1.623274329833349,1.373117982116026,"{""0"": -0.5628517823639712, ""1"": 0.5628517823639712, ""2"": -0.37523452157598447}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,full,student,accuracy,3,-0.250156347717323,-2.133744159341634,1.6334314639069882,"{""0"": -0.9380863039399556, ""1"": 0.5628517823639712, ""2"": -0.37523452157598447}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,random,student,accuracy,3,3.700743415417189e-15,-3.2624697902507944,3.2624697902508015,"{""0"": -0.9380863039399556, ""1"": 1.5009380863039379, ""2"": -0.5628517823639712}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,random_rescue_10,student,accuracy,3,-0.12507817385866518,-3.863312198458846,3.613155850741516,"{""0"": -1.6885553470919357, ""1"": 1.31332082551594, ""2"": 0.0}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,foreground_rescue_10,student,accuracy,3,-0.1876172607879941,-1.8680461341310615,1.4928116125550734,"{""0"": -0.37523452157598447, ""1"": 0.5628517823639712, ""2"": -0.7504690431519689}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,best,low_score_rescue_10,student,accuracy,3,-0.1250781738586615,-1.7618520828693485,1.5116957351520255,"{""0"": -0.7504690431519689, ""1"": 0.5628517823639712, ""2"": -0.18761726078798668}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,ce,student,macro_accuracy,3,0.2504334778944221,-1.209916702745533,1.7107836585343774,"{""0"": 0.15023318837840138, ""1"": -0.2808966238647792, ""2"": 0.8819638691696441}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,full,student,macro_accuracy,3,0.13717588023612523,-0.7973505880933368,1.0717023485655872,"{""0"": 0.4086776554593441, ""1"": -0.29224092335427, ""2"": 0.29509090860330156}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,random,student,macro_accuracy,3,0.399051065805404,0.031617600625339526,0.7664845309854684,"{""0"": 0.35528808257593303, ""1"": 0.5639064136293004, ""2"": 0.27795870121097854}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,random_rescue_10,student,macro_accuracy,3,-0.08515638923665136,-1.4135646655821752,1.2432518871088725,"{""0"": 0.35431482103145395, ""1"": 0.07075822247092356, ""2"": -0.6805422112123316}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,foreground_rescue_10,student,macro_accuracy,3,-0.007312588876858446,-1.0574263753661464,1.0428011976124296,"{""0"": 0.011858689642740838, ""1"": -0.43929974688369233, ""2"": 0.40550329061037615}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,low_score_rescue_10,student,macro_accuracy,3,0.5008114068437745,-0.3606571192586614,1.3622799329462103,"{""0"": 0.5868729605663536, ""1"": 0.11909670680081419, ""2"": 0.7964645531641557}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,ce,student,accuracy,3,0.250156347717323,-0.9227534983048657,1.4230661937395117,"{""0"": 0.18761726078798668, ""1"": -0.18761726078798668, ""2"": 0.7504690431519689}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,full,student,accuracy,3,0.12507817385866518,-0.5868511007285203,0.8370074484458506,"{""0"": 0.37523452157598447, ""1"": -0.18761726078798668, ""2"": 0.18761726078799779}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,random,student,accuracy,3,0.31269543464665556,-0.22547251153173092,0.8508633808250421,"{""0"": 0.18761726078798668, ""1"": 0.5628517823639823, ""2"": 0.18761726078799779}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,random_rescue_10,student,accuracy,3,3.700743415417189e-15,-1.233097674980661,1.2330976749806686,"{""0"": 0.37523452157598447, ""1"": 0.18761726078799779, ""2"": -0.5628517823639712}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,foreground_rescue_10,student,accuracy,3,0.0,-0.9321342257859445,0.9321342257859445,"{""0"": 0.0, ""1"": -0.37523452157598447, ""2"": 0.37523452157598447}",exploratory paired t interval; n=3 insufficient for strong claims
imagenet,last,low_score_rescue_10,student,accuracy,3,0.500312695434646,-0.2116165791525364,1.2122419700218283,"{""0"": 0.5628517823639712, ""1"": 0.18761726078799779, ""2"": 0.7504690431519689}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,best,ce,student,macro_accuracy,3,-2.0552651928261576,-8.518884034778452,4.408353649126136,"{""0"": 0.7868999568787616, ""1"": -4.320001595373113, ""2"": -2.632693939984121}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,best,full,student,macro_accuracy,3,-1.415377928994969,-6.395986928884021,3.5652310708940824,"{""0"": -0.7006264407824037, ""1"": 0.1342681185305672, ""2"": -3.6797754647330705}",exploratory paired t interval; n=3 insufficient for strong claims
scratch,best,random,student,macro_accuracy,3,-0.17116709251400927,-4.202884329872041,3.860550144844022,"{""0"": 1.5438771703916165, ""1"": -1.682941757016021, ""2"": -0.3744366909176233}",exploratory paired t interval; n=3 insufficient for strong claims
