epoch,seed,student_correct,teacher_full_correct,teacher_masked_correct,teacher_raw_correct,student_prediction,teacher_prediction,teacher_masked_prediction,teacher_mask_kl,teacher_raw_kl,teacher_student_kl,prediction_agreement,teacher_flip,correction_opportunity,correction_signal_preserved,swaps,raw_background_ratio,raw_foreground_missing,raw_background_excess_vs_area,raw_foreground_area_missing,raw_zero_foreground,actual_background_ratio,actual_foreground_missing,actual_background_excess_vs_area,actual_foreground_area_missing,actual_zero_foreground,added_foreground,removed_foreground,initialization,method,n_probe
0,0,0.055,0.98,0.955,0.965,4.295,4.485,4.375,0.07673554122447968,0.04942389577627182,1.9759149551391602,0.055,0.03,0.925,0.895,10.0,0.7058673469387755,0.08231790489358617,-0.1188265306122449,0.11018673395505175,0.05,0.729234693877551,0.1679639018459042,-0.0954591836734694,0.1908127719233744,0.05,0.55,2.84,imagenet,random_anneal_10,200
1,0,0.75,0.98,0.955,0.96,4.455,4.485,4.4,0.06486073136329651,0.060337889939546585,1.0578465461730957,0.75,0.025,0.235,0.225,10.0,0.7025,0.07956746080398516,-0.1221938775510204,0.10392138346331194,0.05,0.7273979591836734,0.17505997373481066,-0.09729591836734695,0.18818330444977618,0.05,0.53,2.97,imagenet,random_anneal_10,200
2,0,0.945,0.98,0.965,0.955,4.4,4.485,4.455,0.036755405366420746,0.04234221577644348,0.24738061428070068,0.945,0.015,0.045,0.045,10.0,0.6980102040816327,0.07467830591872324,-0.12668367346938778,0.09221563921004418,0.05,0.7235204081632653,0.1665751335483588,-0.10117346938775512,0.17334048582008107,0.05,0.5,3.0,imagenet,random_anneal_10,200
3,0,0.955,0.98,0.945,0.96,4.385,4.485,4.41,0.08786217868328094,0.024034852162003517,0.10397077351808548,0.96,0.035,0.03,0.025,10.0,0.6965816326530613,0.06575660670491737,-0.12811224489795917,0.08795723139555775,0.05,0.7237755102040816,0.159866173014558,-0.10091836734693878,0.1751110313180834,0.05,0.475,3.14,imagenet,random_anneal_10,200
4,0,0.955,0.98,0.95,0.965,4.4,4.485,4.395,0.06651370227336884,0.03208934888243675,0.09514395892620087,0.96,0.03,0.03,0.025,10.0,0.6999489795918368,0.07247333608734305,-0.12474489795918366,0.0960707291426661,0.05,0.7265306122448979,0.16771346344654925,-0.09816326530612245,0.18078836644708646,0.05,0.49,3.095,imagenet,random_anneal_10,200
5,0,0.95,0.98,0.955,0.965,4.345,4.485,4.475,0.060827236622571945,0.029763752594590187,0.09153907746076584,0.955,0.03,0.035,0.035,10.0,0.7013265306122449,0.0754330593303232,-0.12336734693877553,0.10066555774508743,0.05,0.7264285714285715,0.17095296964126155,-0.09826530612244898,0.18301172072533517,0.05,0.54,3.0,imagenet,random_anneal_10,200
6,0,0.94,0.98,0.955,0.97,4.415,4.485,4.39,0.05125296488404274,0.0343976765871048,0.12179229408502579,0.945,0.025,0.045,0.04,10.0,0.7038265306122449,0.08399077673617109,-0.1208673469387755,0.10743470850211452,0.05,0.7291326530612244,0.17555727754787548,-0.09556122448979593,0.19104619672871195,0.05,0.575,3.055,imagenet,random_anneal_10,200
7,0,0.955,0.98,0.96,0.96,4.43,4.485,4.365,0.05490095168352127,0.055581435561180115,0.1027597039937973,0.96,0.025,0.03,0.03,10.0,0.7042346938775509,0.08526515571474444,-0.12045918367346939,0.11085743007002748,0.05,0.7280102040816326,0.17517550018149036,-0.09668367346938776,0.1892014044104144,0.05,0.545,2.875,imagenet,random_anneal_10,200
8,0,0.95,0.98,0.965,0.96,4.425,4.485,4.4,0.06156410276889801,0.04458138346672058,0.08987539261579514,0.955,0.02,0.035,0.03,10.0,0.7039285714285716,0.08373910974552472,-0.12076530612244898,0.10841011783821158,0.05,0.7285204081632654,0.17635798712250483,-0.09617346938775512,0.18441329784691335,0.05,0.505,2.915,imagenet,random_anneal_10,200
9,0,0.965,0.98,0.94,0.965,4.36,4.485,4.4,0.10686006397008896,0.04656606540083885,0.0814460813999176,0.97,0.04,0.02,0.015,10.0,0.7046938775510203,0.08463749225791933,-0.12,0.10774936241024989,0.05,0.7284693877551021,0.16928508139801873,-0.09622448979591837,0.18694541130680592,0.05,0.52,2.85,imagenet,random_anneal_10,200
10,0,0.95,0.98,0.945,0.95,4.36,4.485,4.335,0.08271514624357224,0.07260710000991821,0.10406725108623505,0.955,0.04,0.035,0.02,10.0,0.7064795918367346,0.08857490862035833,-0.11821428571428572,0.11290508896330721,0.05,0.7321428571428572,0.19504305028088625,-0.09255102040816326,0.2036634404445067,0.05,0.565,3.08,imagenet,random_anneal_10,200
11,0,0.945,0.98,0.94,0.945,4.5,4.485,4.345,0.08064113557338715,0.07358268648386002,0.12342285364866257,0.95,0.04,0.04,0.025,10.0,0.7052551020408163,0.08885728782004679,-0.1194387755102041,0.11791631226529717,0.05,0.7287244897959184,0.18109066470356275,-0.09596938775510204,0.20110845751594753,0.05,0.62,2.92,imagenet,random_anneal_10,200
12,0,0.95,0.98,0.94,0.96,4.4,4.485,4.355,0.09173710644245148,0.07494612783193588,0.09771169722080231,0.955,0.045,0.035,0.025,10.0,0.7064795918367346,0.09002906579838982,-0.11821428571428572,0.12095975947144325,0.05,0.7312244897959184,0.18560998569751883,-0.09346938775510205,0.2012695278855972,0.05,0.545,2.97,imagenet,random_anneal_10,200
13,0,0.96,0.98,0.95,0.96,4.385,4.485,4.405,0.11351384222507477,0.08509641885757446,0.09346642345190048,0.965,0.035,0.025,0.015,10.0,0.7062755102040816,0.08883666029841084,-0.11841836734693877,0.11899588470390882,0.05,0.7306632653061225,0.18500368740836873,-0.09403061224489796,0.20144382736587432,0.05,0.58,2.97,imagenet,random_anneal_10,200
14,0,0.96,0.98,0.94,0.945,4.39,4.485,4.375,0.0827094167470932,0.09431406855583191,0.09562818706035614,0.965,0.04,0.025,0.025,10.0,0.7065816326530612,0.09217093373863892,-0.11811224489795918,0.11862505390527076,0.05,0.7321428571428572,0.18490593999760188,-0.09255102040816325,0.19814803212648258,0.05,0.53,3.035,imagenet,random_anneal_10,200
15,0,0.96,0.98,0.97,0.96,4.455,4.485,4.425,0.0423753447830677,0.06686266511678696,0.09873992949724197,0.955,0.015,0.03,0.03,10.0,0.7072448979591838,0.08849086639507292,-0.11744897959183674,0.11814812776457984,0.05,0.7315306122448979,0.17140969814576654,-0.09316326530612244,0.1982873139390722,0.05,0.565,2.945,imagenet,random_anneal_10,200
16,0,0.96,0.98,0.945,0.965,4.365,4.485,4.35,0.08746717125177383,0.05422130972146988,0.09796805679798126,0.965,0.04,0.025,0.02,10.0,0.707295918367347,0.0895097426802928,-0.11739795918367346,0.1187507882907812,0.05,0.7314285714285714,0.18114951230174556,-0.09326530612244899,0.20475698935915715,0.05,0.56,2.925,imagenet,random_anneal_10,200
17,0,0.965,0.98,0.945,0.955,4.405,4.485,4.395,0.09951233118772507,0.05153393745422363,0.07039733976125717,0.97,0.04,0.02,0.01,10.0,0.710408163265306,0.09485737247005528,-0.11428571428571428,0.12454113851345028,0.05,0.7332653061224491,0.1802149642261847,-0.09142857142857146,0.20411974017042667,0.05,0.595,2.835,imagenet,random_anneal_10,200
18,0,0.965,0.98,0.97,0.965,4.43,4.485,4.405,0.04821714386343956,0.04612307995557785,0.09518954902887344,0.96,0.015,0.025,0.025,10.0,0.7106122448979594,0.09535991921775715,-0.11408163265306122,0.12878855124698022,0.05,0.7348469387755102,0.18675166315272482,-0.0898469387755102,0.20948968030861578,0.05,0.635,3.01,imagenet,random_anneal_10,200
19,0,0.975,0.98,0.955,0.955,4.455,4.485,4.365,0.058403242379426956,0.055510640144348145,0.0959353893995285,0.97,0.03,0.015,0.01,10.0,0.7096938775510204,0.09638030765591053,-0.115,0.12207785256556235,0.05,0.7325510204081632,0.17734193247597124,-0.09214285714285714,0.19422303040395492,0.05,0.59,2.83,imagenet,random_anneal_10,200
20,0,0.96,0.98,0.94,0.95,4.39,4.485,4.42,0.08124450594186783,0.06049583852291107,0.08919260650873184,0.965,0.04,0.025,0.02,10.0,0.7086224489795918,0.0902518429594311,-0.11607142857142858,0.11709635889623314,0.05,0.7330102040816326,0.18302804607454964,-0.09168367346938776,0.1990925346268341,0.05,0.61,3.0,imagenet,random_anneal_10,200
21,0,0.965,0.98,0.945,0.95,4.41,4.485,4.41,0.08054099231958389,0.06739337742328644,0.11303611099720001,0.96,0.035,0.025,0.02,10.0,0.7075,0.09002042603950591,-0.11719387755102041,0.11917830122692977,0.05,0.7317857142857143,0.1839129033878854,-0.09290816326530611,0.2021155185997486,0.05,0.55,2.93,imagenet,random_anneal_10,200
22,0,0.955,0.98,0.94,0.955,4.405,4.485,4.35,0.07740098237991333,0.05819737911224365,0.1332133263349533,0.95,0.04,0.035,0.025,10.0,0.7094387755102041,0.09281358147469995,-0.11525510204081632,0.12340194715943653,0.05,0.7336734693877551,0.19687269140030453,-0.09102040816326533,0.20861877323841327,0.05,0.545,2.92,imagenet,random_anneal_10,200
23,0,0.965,0.98,0.945,0.955,4.4,4.485,4.485,0.09349224716424942,0.08164725452661514,0.086677186191082,0.97,0.04,0.02,0.02,10.0,0.7070408163265306,0.0875813060932858,-0.11765306122448979,0.11341606859772582,0.05,0.7312755102040817,0.19108641185853104,-0.09341836734693879,0.20853723182110115,0.05,0.59,2.965,imagenet,random_anneal_10,200
24,0,0.955,0.98,0.95,0.96,4.425,4.485,4.385,0.06623289734125137,0.06168721243739128,0.11094770580530167,0.96,0.03,0.03,0.025,10.0,0.7076530612244898,0.09181422668403405,-0.11704081632653061,0.11706628495798213,0.05,0.7316836734693877,0.18959512865477923,-0.09301020408163266,0.20560470898868516,0.05,0.605,2.96,imagenet,random_anneal_10,200
25,0,0.96,0.98,0.965,0.945,4.45,4.485,4.44,0.056263264268636703,0.0753312036395073,0.10139060765504837,0.965,0.02,0.025,0.02,10.0,0.7090306122448979,0.09528929592994058,-0.11566326530612243,0.12178536549312412,0.05,0.7324489795918367,0.1813690702469659,-0.0922448979591837,0.19996489277807997,0.05,0.65,2.945,imagenet,random_anneal_10,200
26,0,0.96,0.98,0.945,0.94,4.355,4.485,4.415,0.08143959194421768,0.06720741093158722,0.09114538133144379,0.965,0.035,0.025,0.02,9.0,0.7088265306122449,0.09503091096879468,-0.11586734693877551,0.12209793480156804,0.05,0.7306122448979592,0.18290255847778375,-0.09408163265306121,0.19653412267565729,0.05,0.525,2.66,imagenet,random_anneal_10,200
27,0,0.965,0.98,0.95,0.945,4.415,4.485,4.425,0.0963054746389389,0.08816318213939667,0.08445225656032562,0.97,0.035,0.02,0.02,9.0,0.7105612244897958,0.09637682449267901,-0.1141326530612245,0.1243904233914509,0.05,0.7315306122448979,0.1858261802487913,-0.09316326530612246,0.2045866309059784,0.05,0.56,2.615,imagenet,random_anneal_10,200
28,0,0.96,0.98,0.945,0.945,4.415,4.485,4.345,0.09115903824567795,0.08697088062763214,0.09319879859685898,0.965,0.04,0.025,0.02,9.0,0.707704081632653,0.09286656160517669,-0.11698979591836736,0.12318911753769499,0.05,0.7309183673469388,0.1821265836346882,-0.09377551020408165,0.2027028341940604,0.05,0.51,2.785,imagenet,random_anneal_10,200
29,0,0.955,0.98,0.94,0.955,4.485,4.485,4.47,0.09963998943567276,0.05637384578585625,0.10583406686782837,0.96,0.045,0.03,0.015,9.0,0.7088775510204082,0.09384578107242919,-0.11581632653061223,0.12518004859550275,0.05,0.7314285714285714,0.17125099208688696,-0.09326530612244899,0.20047035813113326,0.05,0.46,2.67,imagenet,random_anneal_10,200
30,0,0.96,0.98,0.95,0.95,4.415,4.485,4.31,0.0820399820804596,0.08651307225227356,0.06997948884963989,0.965,0.035,0.025,0.02,9.0,0.7067857142857144,0.0910335358994785,-0.11790816326530613,0.12114057606406277,0.05,0.7297448979591837,0.16904991616551093,-0.09494897959183675,0.18868460284778849,0.05,0.475,2.725,imagenet,random_anneal_10,200
31,0,0.965,0.98,0.96,0.95,4.425,4.485,4.45,0.05610102787613869,0.059491075575351715,0.0575152263045311,0.97,0.02,0.02,0.015,9.0,0.7064285714285714,0.08574445860541055,-0.11826530612244898,0.1146033442436601,0.05,0.7296428571428573,0.17528523597709603,-0.0950510204081633,0.20238478782819583,0.05,0.425,2.7,imagenet,random_anneal_10,200
32,0,0.965,0.98,0.94,0.95,4.405,4.485,4.295,0.13469967246055603,0.07045485824346542,0.06654008477926254,0.97,0.045,0.02,0.015,8.0,0.7076530612244898,0.0899929464606996,-0.11704081632653061,0.1178368116664933,0.05,0.7271938775510204,0.16673201967671664,-0.0975,0.18400689758593217,0.05,0.425,2.34,imagenet,random_anneal_10,200
33,0,0.98,0.98,0.945,0.96,4.42,4.485,4.375,0.08073833584785461,0.06158655136823654,0.04709058627486229,0.985,0.035,0.005,0.0,8.0,0.7074489795918367,0.08923887932296332,-0.11724489795918368,0.12067029061334324,0.05,0.7276020408163265,0.16813496867904135,-0.09709183673469388,0.19269898889353498,0.05,0.43,2.405,imagenet,random_anneal_10,200
34,0,0.975,0.98,0.94,0.955,4.395,4.485,4.345,0.08588072657585144,0.053026340901851654,0.037601765245199203,0.98,0.045,0.01,0.005,8.0,0.7066326530612246,0.0907572705126464,-0.11806122448979592,0.11746822413813789,0.05,0.7275510204081632,0.17379395037805898,-0.09714285714285716,0.190063608950004,0.05,0.435,2.485,imagenet,random_anneal_10,200
35,0,0.965,0.98,0.96,0.955,4.44,4.485,4.435,0.05218755081295967,0.053235460072755814,0.0671008750796318,0.97,0.025,0.02,0.015,8.0,0.7072959183673468,0.08820671850729309,-0.11739795918367348,0.11815237762377365,0.05,0.7260204081632654,0.15515311871974935,-0.0986734693877551,0.18655576973280405,0.05,0.475,2.31,imagenet,random_anneal_10,200
36,0,0.965,0.98,0.955,0.955,4.41,4.485,4.36,0.0676836222410202,0.060106344521045685,0.06329864263534546,0.97,0.03,0.02,0.015,8.0,0.7101530612244897,0.09455674725000877,-0.11454081632653061,0.12685032175591915,0.05,0.7298979591836735,0.16195910843051525,-0.09479591836734695,0.19233914280557657,0.05,0.46,2.395,imagenet,random_anneal_10,200
37,0,0.965,0.98,0.955,0.955,4.36,4.485,4.385,0.0791892409324646,0.05572565644979477,0.08067512512207031,0.97,0.025,0.02,0.01,8.0,0.7080102040816325,0.088534785079659,-0.11668367346938777,0.11633101336541586,0.05,0.7266326530612246,0.1672420349911384,-0.09806122448979593,0.18774481622036546,0.05,0.51,2.335,imagenet,random_anneal_10,200
38,0,0.97,0.98,0.945,0.96,4.38,4.485,4.38,0.08028402179479599,0.06745985150337219,0.07521500438451767,0.975,0.035,0.015,0.005,7.0,0.7081122448979593,0.08966886845354279,-0.11658163265306123,0.11676412978646113,0.05,0.7254081632653062,0.15515314744602385,-0.09928571428571428,0.17653772824793124,0.05,0.455,2.15,imagenet,random_anneal_10,200
39,0,0.965,0.98,0.945,0.95,4.375,4.485,4.36,0.05917460843920708,0.07620427757501602,0.0537676140666008,0.97,0.04,0.02,0.015,7.0,0.7084693877551022,0.09026911161207647,-0.11622448979591837,0.11725547189736972,0.05,0.7257653061224489,0.15344763360396743,-0.09892857142857142,0.17498189750127494,0.05,0.42,2.115,imagenet,random_anneal_10,200
40,0,0.97,0.98,0.95,0.945,4.38,4.485,4.36,0.08500076085329056,0.08991707116365433,0.06152968481183052,0.975,0.035,0.015,0.01,7.0,0.7091326530612244,0.09229153395141125,-0.11556122448979593,0.12330887665943009,0.05,0.725561224489796,0.15162506621189478,-0.09913265306122448,0.17628144346454064,0.05,0.43,2.04,imagenet,random_anneal_10,200
41,0,0.965,0.98,0.955,0.955,4.385,4.485,4.335,0.0685366839170456,0.06484616547822952,0.07434964925050735,0.97,0.03,0.02,0.015,7.0,0.7079591836734694,0.09000445390194722,-0.11673469387755102,0.12020885145655484,0.05,0.7238265306122449,0.15128136532548087,-0.10086734693877553,0.1769632615550654,0.05,0.42,1.975,imagenet,random_anneal_10,200
42,0,0.97,0.98,0.95,0.955,4.38,4.485,4.3,0.08650476485490799,0.08976465463638306,0.07222677767276764,0.975,0.035,0.015,0.01,7.0,0.710204081632653,0.09739909034999662,-0.11448979591836736,0.12910162510786904,0.05,0.7259183673469388,0.1583481199770853,-0.09877551020408162,0.18297092262655495,0.05,0.445,1.985,imagenet,random_anneal_10,200
43,0,0.96,0.98,0.955,0.96,4.425,4.485,4.365,0.07316435128450394,0.06714574247598648,0.07883278280496597,0.965,0.03,0.025,0.025,7.0,0.7088775510204082,0.09235882417141246,-0.11581632653061226,0.12296775353941485,0.05,0.7258673469387756,0.15281075158367508,-0.0988265306122449,0.17855562537908554,0.05,0.365,2.03,imagenet,random_anneal_10,200
44,0,0.96,0.98,0.94,0.935,4.38,4.485,4.325,0.08705934882164001,0.10492667555809021,0.09096448123455048,0.965,0.045,0.025,0.015,6.0,0.7089285714285714,0.09389099501363284,-0.11576530612244898,0.12495578984700842,0.05,0.722908163265306,0.1476103749444029,-0.10178571428571431,0.17200613094260916,0.05,0.37,1.74,imagenet,random_anneal_10,200
