seed,initialization,method,threshold,reached_three_epochs,first_epoch,updates_to_first,training_seconds_to_first,wall_seconds_to_first_with_probe,last10_val_mean,previous10_val_mean
0,imagenet,ce,0.8,True,2.0,94.0,187.33167112385854,220.5070973727852,0.9686000000000001,0.9696
0,imagenet,foreground_rescue_10,0.8,True,2.0,94.0,209.7313944029156,243.71746754366904,0.9671999999999998,0.9682000000000001
0,imagenet,full,0.8,True,2.0,94.0,195.59103661729023,228.48367146309465,0.9668000000000001,0.9673999999999998
0,imagenet,low_score_rescue_10,0.8,True,2.0,94.0,201.79721168614924,235.37237691506743,0.9691000000000001,0.9692000000000002
0,imagenet,random,0.8,True,2.0,94.0,193.15455841016956,226.1441159308888,0.9688000000000001,0.9682999999999999
0,imagenet,random_rescue_10,0.8,True,2.0,94.0,202.65557174291462,236.1727276109159,0.9661,0.9658999999999999
0,imagenet,student,0.8,True,2.0,94.0,188.79532376886345,222.1465454059653,0.9627000000000001,0.9629999999999999
0,scratch,ce,0.8,False,,,,,0.6077999999999999,0.6008999999999999
0,scratch,foreground_rescue_10,0.8,False,,,,,0.6144000000000001,0.6116
0,scratch,full,0.8,False,,,,,0.5891000000000001,0.5858999999999999
0,scratch,full_to_student_20,0.8,False,,,,,0.5963999999999999,0.5947
0,scratch,full_to_student_50,0.8,False,,,,,0.6141,0.6027000000000001
0,scratch,low_score_rescue_10,0.8,False,,,,,0.6189,0.6134000000000001
0,scratch,random,0.8,False,,,,,0.5946,0.5936
0,scratch,random_rescue_10,0.8,False,,,,,0.6140000000000001,0.6167
0,scratch,random_to_student_20,0.8,False,,,,,0.6096,0.6057999999999999
0,scratch,random_to_student_50,0.8,False,,,,,0.6083000000000001,0.6017999999999999
0,scratch,student,0.8,False,,,,,0.603,0.5981
1,imagenet,ce,0.8,True,2.0,94.0,185.44023012788966,218.9077352460008,0.9653999999999998,0.9657
1,imagenet,foreground_rescue_10,0.8,True,2.0,94.0,208.31539207301103,242.0012174001895,0.9710999999999999,0.9692999999999999
1,imagenet,full,0.8,True,2.0,94.0,194.5683793378994,226.73670849506743,0.9720999999999999,0.9718
1,imagenet,low_score_rescue_10,0.8,True,2.0,94.0,204.66537230019458,237.21706762723625,0.9632999999999997,0.9639
1,imagenet,random,0.8,True,2.0,94.0,197.8320532469079,231.8150426771026,0.9682000000000001,0.9696999999999999
1,imagenet,random_rescue_10,0.8,True,2.0,94.0,202.5575878568925,235.3840969069861,0.9707000000000001,0.9692999999999999
1,imagenet,student,0.8,True,2.0,94.0,196.87508283019997,230.89790126914158,0.9705000000000001,0.9709000000000001
1,scratch,ce,0.8,False,,,,,0.5855,0.5849999999999999
1,scratch,foreground_rescue_10,0.8,False,,,,,0.6028,0.6003000000000001
1,scratch,full,0.8,False,,,,,0.5902000000000001,0.5918
1,scratch,low_score_rescue_10,0.8,False,,,,,0.6103,0.6081
1,scratch,random,0.8,False,,,,,0.6113000000000001,0.6111
1,scratch,random_rescue_10,0.8,False,,,,,0.6068,0.6052
1,scratch,student,0.8,False,,,,,0.5969,0.6011
2,imagenet,ce,0.8,True,2.0,94.0,185.83151404513046,218.63006726303138,0.9661,0.9677999999999999
2,imagenet,foreground_rescue_10,0.8,True,2.0,94.0,208.07678774790838,241.54009820194915,0.9737,0.9730999999999999
2,imagenet,full,0.8,True,2.0,94.0,192.57126840483397,224.7216121351812,0.9694,0.9706000000000001
2,imagenet,low_score_rescue_10,0.8,True,2.0,94.0,199.9945828539785,233.38287591701373,0.9720999999999999,0.9716000000000001
2,imagenet,random,0.8,True,2.0,94.0,192.20833503012545,226.108105879277,0.9705,0.9695
2,imagenet,random_rescue_10,0.8,True,2.0,94.0,200.9718079350423,233.61474329279736,0.9676,0.9685
2,imagenet,student,0.8,True,2.0,94.0,190.73812817502767,223.94935818389058,0.9665999999999999,0.9652
2,scratch,ce,0.8,False,,,,,0.5952000000000001,0.5915000000000001
2,scratch,foreground_rescue_10,0.8,False,,,,,0.5815,0.579
2,scratch,full,0.8,False,,,,,0.5977000000000001,0.6029000000000001
2,scratch,low_score_rescue_10,0.8,False,,,,,0.6109000000000001,0.604
2,scratch,random,0.8,False,,,,,0.6028,0.5986
2,scratch,random_rescue_10,0.8,False,,,,,0.6032,0.6048
2,scratch,student,0.8,False,,,,,0.6039999999999999,0.6020000000000001
