seed,initialization,method,epoch0_correction_opportunities,horizon,corrected_by_25,corrected_by_50,corrected_by_end,mean_wait_capped_at_horizon_plus1,criterion
0,imagenet,ce,185,100,0.9891891891891892,0.9891891891891892,0.9945945945945946,2.3135135135135134,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,imagenet,foreground_rescue_10,185,100,0.9891891891891892,0.9945945945945946,0.9945945945945946,2.2432432432432434,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,imagenet,full,185,100,0.9891891891891892,0.9945945945945946,1.0,2.037837837837838,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,imagenet,low_score_rescue_10,185,100,0.9891891891891892,0.9945945945945946,0.9945945945945946,2.3135135135135134,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,imagenet,random,185,100,0.9945945945945946,0.9945945945945946,0.9945945945945946,2.0864864864864865,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,imagenet,random_rescue_10,185,100,0.9891891891891892,0.9891891891891892,1.0,2.1027027027027025,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,imagenet,student,185,100,0.9837837837837838,0.9837837837837838,1.0,2.383783783783784,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,ce,179,100,0.664804469273743,0.7262569832402235,0.7877094972067039,32.96648044692738,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,foreground_rescue_10,179,100,0.6536312849162011,0.7486033519553073,0.8044692737430168,31.720670391061454,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,full,179,100,0.6871508379888268,0.7821229050279329,0.8212290502793296,29.34078212290503,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,full_to_student_20,179,100,0.6871508379888268,0.770949720670391,0.7988826815642458,30.491620111731844,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,full_to_student_50,179,100,0.6871508379888268,0.770949720670391,0.8100558659217877,30.385474860335197,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,low_score_rescue_10,179,100,0.6480446927374302,0.7486033519553073,0.776536312849162,32.608938547486034,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,random,179,100,0.6480446927374302,0.7318435754189944,0.7597765363128491,33.71508379888268,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,random_rescue_10,179,100,0.6536312849162011,0.7541899441340782,0.776536312849162,32.02793296089386,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,random_to_student_20,179,100,0.664804469273743,0.7541899441340782,0.7988826815642458,31.98324022346369,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,random_to_student_50,179,100,0.6480446927374302,0.7318435754189944,0.770949720670391,33.55307262569833,first of 3 consecutive correct probe epochs; non-corrected retained as censored
0,scratch,student,179,100,0.6424581005586593,0.6927374301675978,0.7262569832402235,36.26815642458101,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,imagenet,ce,186,100,0.9946236559139785,0.9946236559139785,0.9946236559139785,2.0376344086021505,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,imagenet,foreground_rescue_10,186,100,0.9946236559139785,1.0,1.0,1.7150537634408602,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,imagenet,full,186,100,0.989247311827957,0.9946236559139785,0.9946236559139785,2.086021505376344,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,imagenet,low_score_rescue_10,186,100,0.9946236559139785,0.9946236559139785,0.9946236559139785,1.989247311827957,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,imagenet,random,186,100,0.989247311827957,0.9946236559139785,0.9946236559139785,2.204301075268817,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,imagenet,random_rescue_10,186,100,0.9946236559139785,0.9946236559139785,0.9946236559139785,2.0591397849462365,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,imagenet,student,186,100,0.9946236559139785,0.9946236559139785,0.9946236559139785,1.9623655913978495,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,scratch,ce,177,100,0.632768361581921,0.7175141242937854,0.7627118644067796,34.163841807909606,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,scratch,foreground_rescue_10,177,100,0.6779661016949152,0.7231638418079096,0.7570621468926554,33.80790960451977,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,scratch,full,177,100,0.6666666666666666,0.7401129943502824,0.751412429378531,33.53107344632768,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,scratch,low_score_rescue_10,177,100,0.672316384180791,0.7457627118644068,0.7853107344632768,32.21468926553672,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,scratch,random,177,100,0.6892655367231638,0.7796610169491526,0.7909604519774012,30.26553672316384,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,scratch,random_rescue_10,177,100,0.6497175141242938,0.7231638418079096,0.7570621468926554,34.50282485875706,first of 3 consecutive correct probe epochs; non-corrected retained as censored
1,scratch,student,177,100,0.6497175141242938,0.7062146892655368,0.7457627118644068,34.55367231638418,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,imagenet,ce,166,100,1.0,1.0,1.0,1.3674698795180722,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,imagenet,foreground_rescue_10,166,100,1.0,1.0,1.0,1.4036144578313252,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,imagenet,full,166,100,1.0,1.0,1.0,1.3614457831325302,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,imagenet,low_score_rescue_10,166,100,1.0,1.0,1.0,1.3614457831325302,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,imagenet,random,166,100,1.0,1.0,1.0,1.3795180722891567,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,imagenet,random_rescue_10,166,100,1.0,1.0,1.0,1.3433734939759037,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,imagenet,student,166,100,1.0,1.0,1.0,1.391566265060241,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,scratch,ce,180,100,0.6888888888888889,0.75,0.7888888888888889,31.066666666666666,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,scratch,foreground_rescue_10,180,100,0.6444444444444445,0.7333333333333333,0.7777777777777778,32.922222222222224,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,scratch,full,180,100,0.6388888888888888,0.7333333333333333,0.7777777777777778,33.266666666666666,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,scratch,low_score_rescue_10,180,100,0.6666666666666666,0.75,0.7833333333333333,31.66111111111111,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,scratch,random,180,100,0.6666666666666666,0.7555555555555555,0.7944444444444444,31.022222222222222,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,scratch,random_rescue_10,180,100,0.6444444444444445,0.7333333333333333,0.7722222222222223,32.794444444444444,first of 3 consecutive correct probe epochs; non-corrected retained as censored
2,scratch,student,180,100,0.6611111111111111,0.7277777777777777,0.7722222222222223,32.477777777777774,first of 3 consecutive correct probe epochs; non-corrected retained as censored
