seed,initialization,method,epoch,mask,repeat,teacher_accuracy,teacher_full_accuracy,kl,full_correct_to_wrong,background_ratio,foreground_missing,swaps
1,scratch,adaptive_random_to_low_10,0,student,0,0.92,0.99,0.14443268,0.07,0.8110714285714287,0.4192008084694095,0.0
1,scratch,adaptive_random_to_low_10,0,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,adaptive_random_to_low_10,0,random_rescue_10,0,0.93,0.99,0.14620258,0.06,0.8135204081632653,0.42994755365076703,10.0
1,scratch,adaptive_random_to_low_10,0,foreground_rescue_10,0,0.945,0.99,0.107118405,0.045,0.7480612244897958,0.15916616481303753,6.175
1,scratch,adaptive_random_to_low_10,0,low_score_rescue_10,0,0.94,0.99,0.09771113,0.05,0.8106122448979591,0.42240870464704317,10.0
1,scratch,adaptive_random_to_low_10,0,random_matched,0,0.915,0.99,0.14928024,0.075,0.8096428571428572,0.415723160442607,6.175
1,scratch,adaptive_random_to_low_10,50,student,0,0.945,0.99,0.12128431,0.045,0.8004081632653062,0.3866357233404243,0.0
1,scratch,adaptive_random_to_low_10,50,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,adaptive_random_to_low_10,50,random_rescue_10,0,0.945,0.99,0.097213745,0.045,0.8039795918367347,0.41506337221348116,10.0
1,scratch,adaptive_random_to_low_10,50,foreground_rescue_10,0,0.96,0.99,0.10556593,0.03,0.7359183673469388,0.12624352896674362,6.32
1,scratch,adaptive_random_to_low_10,50,low_score_rescue_10,0,0.945,0.99,0.09992985,0.045,0.8011734693877551,0.3948985164625025,10.0
1,scratch,adaptive_random_to_low_10,50,random_matched,0,0.95,0.99,0.10903137,0.04,0.8025510204081633,0.39481769704536374,6.32
1,scratch,adaptive_random_to_low_10,51,student,0,0.945,0.99,0.098811,0.045,0.8023469387755102,0.38556516706837407,0.0
1,scratch,adaptive_random_to_low_10,51,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,adaptive_random_to_low_10,51,random_rescue_10,0,0.935,0.99,0.10339249,0.055,0.8063265306122449,0.4066882343802321,10.0
1,scratch,adaptive_random_to_low_10,51,foreground_rescue_10,0,0.955,0.99,0.08252614,0.035,0.7386734693877551,0.13557407684744266,6.24
1,scratch,adaptive_random_to_low_10,51,low_score_rescue_10,0,0.97,0.99,0.04707715,0.02,0.8027551020408162,0.3946880046068896,10.0
1,scratch,adaptive_random_to_low_10,51,random_matched,0,0.955,0.99,0.093700334,0.035,0.8053061224489797,0.38975753785364725,6.24
1,scratch,adaptive_random_to_low_10,70,student,0,0.935,0.99,0.1346683,0.055,0.7980612244897959,0.3994542341772819,0.0
1,scratch,adaptive_random_to_low_10,70,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
1,scratch,adaptive_random_to_low_10,70,random_rescue_10,0,0.94,0.99,0.12392212,0.05,0.8025,0.4156672101175846,10.0
1,scratch,adaptive_random_to_low_10,70,foreground_rescue_10,0,0.94,0.99,0.09593176,0.05,0.7337244897959184,0.12393017873473237,6.305
1,scratch,adaptive_random_to_low_10,70,low_score_rescue_10,0,0.945,0.99,0.07789105,0.045,0.7976020408163265,0.4049799136417605,10.0
1,scratch,adaptive_random_to_low_10,70,random_matched,0,0.935,0.99,0.1242765,0.06,0.8025,0.41134806470295343,6.305
1,scratch,adaptive_random_to_low_10,71,student,0,0.93,0.99,0.08978937,0.06,0.801173469387755,0.4123840930436871,0.0
1,scratch,adaptive_random_to_low_10,71,random,0,0.965,0.99,0.056922186,0.025,0.8246938775510205,0.48994748795493875,0.0
