seed,initialization,method,last_macro_accuracy,switch_after_epoch,delta_vs_masked_pp,delta_vs_random10_pp
1,scratch,student,0.6059979291757333,,0.0,-0.5904002904066563
1,scratch,random_rescue_10,0.6119019320797998,,0.5904002904066563,0.0
1,scratch,low_score_rescue_10,0.5822171633242991,,-2.3780765851434182,-2.9684768755500746
1,scratch,adaptive_random_to_low_10,0.5911204940293862,50,-1.4877435146347096,-2.078143805041366
1,scratch,random_rescue_to_low_70,0.6097965171755575,70,0.37985879998242433,-0.21054149042423198
1,scratch,random_low_mixed_10,0.5887778118653438,,-1.7220117310389416,-2.312412021445598
2,scratch,student,0.6018891029336271,,0.0,-1.193190359902696
2,scratch,random_rescue_10,0.613821006532654,,1.193190359902696,0.0
2,scratch,low_score_rescue_10,0.5967155357776359,,-0.5173567155991154,-1.7105470755018115
2,scratch,adaptive_random_to_low_10,0.572132460008619,40,-2.9756642925008125,-4.168854652403509
2,scratch,random_rescue_to_low_70,0.6019305791975617,70,0.004147626393458115,-1.189042733509238
2,scratch,random_low_mixed_10,0.5822731945145275,,-1.9615908419099548,-3.154781201812651
