seed,initialization,method,epoch,mask,repeat,teacher_accuracy,teacher_full_accuracy,kl,full_correct_to_wrong,background_ratio,foreground_missing,swaps
0,imagenet,ce,0,student,0,0.965,0.98,0.049423896,0.015,0.7058673469387755,0.08231790489358617,0.0
0,imagenet,ce,0,student,1,0.965,0.98,0.049423896,0.015,0.7058673469387755,0.08231790489358617,0.0
0,imagenet,ce,0,student,2,0.965,0.98,0.049423896,0.015,0.7058673469387755,0.08231790489358617,0.0
0,imagenet,ce,0,student,3,0.965,0.98,0.049423896,0.015,0.7058673469387755,0.08231790489358617,0.0
0,imagenet,ce,0,student,4,0.965,0.98,0.049423896,0.015,0.7058673469387755,0.08231790489358617,0.0
0,imagenet,ce,0,random,0,0.95,0.98,0.07085513,0.03,0.8246938775510205,0.48994748795493875,0.0
0,imagenet,ce,0,random,1,0.965,0.98,0.06002661,0.02,0.8235204081632653,0.4946262972715817,0.0
0,imagenet,ce,0,random,2,0.945,0.98,0.086035594,0.035,0.8219387755102041,0.47777470733476307,0.0
0,imagenet,ce,0,random,3,0.93,0.98,0.11281219,0.05,0.822857142857143,0.4756299304983063,0.0
0,imagenet,ce,0,random,4,0.945,0.98,0.12285635,0.04,0.8268877551020407,0.5175266882325791,0.0
0,imagenet,ce,0,random_rescue_10,0,0.955,0.98,0.07673554,0.03,0.729234693877551,0.1679639018459042,10.0
0,imagenet,ce,0,random_rescue_10,1,0.96,0.98,0.05731293,0.02,0.7321428571428572,0.17112982691976839,10.0
0,imagenet,ce,0,random_rescue_10,2,0.955,0.98,0.07880971,0.025,0.7311224489795919,0.17162426857917626,10.0
0,imagenet,ce,0,random_rescue_10,3,0.955,0.98,0.0690822,0.025,0.7294897959183675,0.17406355448185729,10.0
0,imagenet,ce,0,random_rescue_10,4,0.94,0.98,0.09882484,0.04,0.7296428571428573,0.15813417548845027,10.0
0,imagenet,ce,0,foreground_rescue_10,0,0.96,0.98,0.052042674,0.02,0.677295918367347,0.025096868132710646,2.8
0,imagenet,ce,0,foreground_rescue_10,1,0.96,0.98,0.061706647,0.02,0.677295918367347,0.025096868132710646,2.8
0,imagenet,ce,0,foreground_rescue_10,2,0.96,0.98,0.057614543,0.02,0.677295918367347,0.025096868132710646,2.8
0,imagenet,ce,0,foreground_rescue_10,3,0.96,0.98,0.062874764,0.02,0.677295918367347,0.025096868132710646,2.8
0,imagenet,ce,0,foreground_rescue_10,4,0.96,0.98,0.063759096,0.02,0.677295918367347,0.025096868132710646,2.8
0,imagenet,ce,0,low_score_rescue_10,0,0.95,0.98,0.07409613,0.03,0.7128571428571427,0.09592084560465473,10.0
0,imagenet,ce,0,low_score_rescue_10,1,0.96,0.98,0.048454687,0.02,0.7136734693877551,0.09635290260200267,10.0
0,imagenet,ce,0,low_score_rescue_10,2,0.95,0.98,0.061150827,0.03,0.7132142857142857,0.09623877203175696,10.0
0,imagenet,ce,0,low_score_rescue_10,3,0.955,0.98,0.07511786,0.025,0.7127551020408163,0.09565284000194518,10.0
0,imagenet,ce,0,low_score_rescue_10,4,0.955,0.98,0.06678594,0.025,0.7127551020408163,0.09502717675311124,10.0
0,imagenet,ce,0,random_matched,0,0.96,0.98,0.05148281,0.02,0.7163775510204081,0.09909034654213109,2.8
0,imagenet,ce,0,random_matched,1,0.965,0.98,0.051132623,0.015,0.7163775510204081,0.10026353536070877,2.8
0,imagenet,ce,0,random_matched,2,0.95,0.98,0.06500979,0.03,0.7168877551020408,0.10060035762440128,2.8
0,imagenet,ce,0,random_matched,3,0.96,0.98,0.05155242,0.02,0.7167346938775511,0.10205323439281039,2.8
